id,created_at,word,meaning,level,pronunciation,part,day,prefix,kanji,furigana,hiragana
1,2025-03-22 05:22:22.879416+00,一,"1, 일",5,いち,명사,1,,一,いち,
2,2025-03-22 05:22:22.879416+00,二,"2, 이",5,に,명사,1,,二,に,
3,2025-03-22 05:22:22.879416+00,三,"3, 삼",5,さん,명사,1,,三,さん,
4,2025-03-22 05:22:22.879416+00,四,"4, 사",5,し/よん,명사,1,,四,し/よん,
5,2025-03-22 05:22:22.879416+00,五,"5, 오",5,ご,명사,1,,五,ご,
6,2025-03-22 05:22:22.879416+00,六,"6, 육",5,ろく,명사,1,,六,ろく,
7,2025-03-22 05:22:22.879416+00,七,"7, 칠",5,しち/なな,명사,1,,七,しち/なな,
8,2025-03-22 05:22:22.879416+00,八,"8, 팔",5,はち,명사,1,,八,はち,
9,2025-03-22 05:22:22.879416+00,九,"9, 구",5,きゅう/く,명사,1,,九,きゅう/く,
10,2025-03-22 05:22:22.879416+00,十,"10, 십",5,じゅう,명사,1,,十,じゅう,
11,2025-03-22 05:22:22.879416+00,百,"100, 백",5,ひゃく,명사,1,,百,ひゃく,
12,2025-03-22 05:22:22.879416+00,千,"1000, 천",5,せん,명사,1,,千,せん,
13,2025-03-22 05:22:22.879416+00,万,"10000, 만",5,まん,명사,1,,万,まん,
14,2025-03-22 05:22:22.879416+00,以上,이상,4,いじょう,명사,1,,以上,いじょう,
15,2025-03-22 05:22:22.879416+00,以下,이하,4,いか,명사,1,,以下,いか,
16,2025-03-22 05:22:22.879416+00,数,"수, 숫자",5,かず,명사,2,,数,かず,
17,2025-03-22 05:22:22.879416+00,数える,세다,4,かぞえる,동사,2,,数,かぞ,える
18,2025-03-22 05:22:22.879416+00,割る,"나누다, 깨뜨리다",4,わる,동사,2,,割,わ,る
19,2025-03-22 05:22:22.879416+00,足す,"더하다, 보태다",4,たす,동사,2,,足,た,す
20,2025-03-22 05:22:22.879416+00,朝,아침,5,あさ,명사,2,,朝,あさ,
21,2025-03-22 05:22:22.879416+00,昼,낮,5,ひる,명사,2,,昼,ひる,
22,2025-03-22 05:22:22.879416+00,昼間,"주간, 낮 동안",4,ひるま,명사,2,,昼間,ひるま,
